Cluster	Gene	FY23.SC_FY23.SC.1	FY23.SC_FY23.SC.2	FY23.YE_FY23.YE.1	FY23.YE_FY23.YE.2	FY24.SC_FY24.SC.1	FY24.SC_FY24.SC.2	FY24.YE_FY24.YE.1	FY24.YE_FY24.YE.2	Transcript
IV_381445_381500_-	YDL040C__NAT1	174.511	177.517	185.776	192.74	185.602	179.052	179.21	174.577	YDL040C_mRNA
IV_381671_381680_+	.	2.395	2.914	1.516	0.987	2.464	1.402	1.468	1.381	NA
IV_38447_38496_+	YDL232W__YDL232W	173.314	172.985	166.261	155.929	195.149	183.07	169.618	164.813	YDL232W_mRNA
IV_385764_385787_-	YDL037C__YDL037C	7.483	5.935	11.558	12.139	5.954	7.102	12.234	9.173	YDL037C_mRNA
IV_388880_388930_-	YDL036C__YDL036C	24.745	21.691	28.515	27.534	25.459	22.802	25.741	24.855	YDL036C_mRNA
IV_392324_392388_-	YDL035C__YDL035C	12.372	11.115	9.284	7.895	10.266	9.812	4.796	8.68	YDL035C_mRNA
IV_393906_393962_-	YDL033C__SLM3	16.763	15.216	15.347	14.409	11.19	13.831	12.528	12.132	YDL033C_mRNA
IV_394143_394165_+	YDL031W__YDL031W	12.073	9.281	12.126	14.902	8.726	10.84	10.081	12.033	YDL031W_mRNA
IV_394143_394165_+	YDL032W__YDL032W	12.073	9.281	12.126	14.902	8.726	10.84	10.081	12.033	YDL032W_mRNA
IV_396811_396814_+	YDL030W__YDL030W	0.698	0.863	0.189	0.395	0.719	0.748	0.685	0.69	YDL030W_mRNA
IV_397410_397486_+	YDL030W__YDL030W	14.967	14.892	15.537	15.099	12.421	11.214	14.094	14.4	YDL030W_mRNA
IV_397519_397521_+	YDL030W__YDL030W	0.998	1.079	1.137	0.691	1.129	0.654	0.489	1.085	YDL030W_mRNA
IV_398536_398541_+	YDL029W__ARP2	0.599	0.755	0	0.197	0.308	0.467	0.294	0.296	YDL029W_mRNA
IV_398536_398541_+	YDL030W__YDL030W	0.599	0.755	0	0.197	0.308	0.467	0.294	0.296	YDL030W_mRNA
IV_399294_399339_+	YDL029W__ARP2	107.461	93.777	87.346	79.544	101.732	100.647	79.867	86.006	YDL029W_mRNA
IV_399592_399595_+	YDL029W__ARP2	0.2	0.324	0.189	0.099	0	0.187	0	0.296	YDL029W_mRNA
IV_403395_403473_-	YDL028C__MPS1	9.678	8.201	7.674	6.612	8.931	10.093	6.949	6.904	YDL028C_mRNA
IV_404964_405028_-	YDL027C__YDL027C	48.193	46.079	26.242	29.508	46.709	43.455	26.524	29.096	YDL027C_mRNA
IV_407294_407418_-	YDL025C__YDL025C	18.459	16.079	14.4	12.534	18.889	16.634	12.137	13.118	YDL025C_mRNA
IV_407806_407811_+	.	1.497	2.59	1.8	1.382	2.566	1.495	2.643	1.381	NA
IV_409210_409213_-	YDL022C-A__YDL022C-A	0.2	0.108	0.758	0.592	0.924	1.121	0.783	0.493	YDL022C-A_mRNA
IV_409210_409213_-	YDL024C__YDL024C	0.2	0.108	0.758	0.592	0.924	1.121	0.783	0.493	YDL024C_mRNA
IV_409242_409246_-	YDL022C-A__YDL022C-A	0.2	0.108	0.568	0.296	0.411	0.561	0.392	0.197	YDL022C-A_mRNA
IV_409242_409246_-	YDL024C__YDL024C	0.2	0.108	0.568	0.296	0.411	0.561	0.392	0.197	YDL024C_mRNA
IV_411586_411589_-	YDL023C__YDL023C	1.996	2.158	0.474	0.395	2.258	2.243	1.468	0.69	YDL023C_mRNA
IV_411750_411764_+	YDL022W__GPD1	157.849	153.668	74.083	72.635	122.777	136.532	68.219	78.51	YDL022W_mRNA
IV_411809_411827_+	YDL022W__GPD1	2.095	0.971	0.758	1.678	3.182	1.869	1.566	0.888	YDL022W_mRNA
IV_411914_411918_+	YDL022W__GPD1	0.798	0.432	0.379	0.296	0.821	0.654	0.392	0.197	YDL022W_mRNA
IV_412100_412103_+	YDL022W__GPD1	0.299	0.216	0.095	0	0	0.187	0	0	YDL022W_mRNA
IV_412603_412606_+	YDL022W__GPD1	0.499	1.295	0.568	0	0.719	0.28	0.098	0	YDL022W_mRNA
IV_413856_413948_+	YDL021W__YDL021W	23.148	20.396	5.874	4.046	15.604	20.092	7.928	6.707	YDL021W_mRNA
IV_414770_414774_-	.	0.399	0.755	0.379	0.197	0.308	0.467	0.881	0.592	NA
IV_416789_416966_-	YDL020C__RPN4	58.669	52.554	53.81	52.996	49.48	48.781	50.895	48.231	YDL020C_mRNA
IV_421592_421756_-	YDL019C__YDL019C	32.927	34.101	29.084	34.837	31.413	37.193	29.558	28.899	YDL019C_mRNA
IV_42270_42389_-	YDL231C__YDL231C	26.94	28.597	18.852	21.514	22.995	24.391	17.715	18.247	YDL231C_mRNA
IV_423526_423597_-	YDL018C__YDL018C	51.685	46.079	48.978	45.594	41.986	49.996	45.023	48.527	YDL018C_mRNA
IV_424099_424202_+	YDL017W__CDC7	14.568	13.705	12.505	15.593	13.448	11.494	12.137	10.455	YDL017W_mRNA
IV_42632_42702_+	YDL230W__YDL230W	34.822	31.834	25.2	24.475	31.207	33.736	24.077	23.178	YDL230W_mRNA
IV_426911_427044_-	YDL015C__YDL015C	132.006	125.287	120.598	115.17	130.784	115.973	128.609	130.883	YDL015C_mRNA
IV_427212_427332_+	YDL014W__NOP1	150.066	162.733	193.26	210.011	161.068	166.343	191.836	203.969	YDL014W_mRNA
IV_427386_427391_+	YDL014W__NOP1	0.998	0.755	0.284	0.395	1.027	0.187	0.783	1.381	YDL014W_mRNA
IV_427422_427433_+	YDL014W__NOP1	0.798	1.187	0.663	0.987	1.027	0.841	1.37	0.986	YDL014W_mRNA
IV_427468_427470_+	YDL014W__NOP1	0.1	0.432	0.379	0.197	0.205	0.374	0.392	0.592	YDL014W_mRNA
IV_427485_427487_+	YDL014W__NOP1	0.599	0.971	0.095	0.888	1.027	0	0.587	1.282	YDL014W_mRNA
IV_427521_427541_+	YDL014W__NOP1	2.494	2.59	1.516	2.171	1.027	2.149	2.643	1.874	YDL014W_mRNA
IV_427575_427577_+	YDL014W__NOP1	0.499	0.108	0.474	0.395	0.411	0.28	0.392	0.592	YDL014W_mRNA
IV_428882_428946_+	YDL013W__SLX5	45.798	50.395	39.505	43.226	42.602	45.043	37.486	37.381	YDL013W_mRNA
IV_431495_431554_-	YDL012C__YDL012C	71.74	72.841	89.62	88.722	70.422	74.574	72.526	84.132	YDL012C_mRNA
IV_431968_432060_-	YDL011C__YDL011C	10.177	9.173	12.41	14.507	8.007	6.542	8.222	10.356	YDL011C_mRNA
IV_431968_432060_-	YDL012C__YDL012C	10.177	9.173	12.41	14.507	8.007	6.542	8.222	10.356	YDL012C_mRNA
IV_432069_432072_-	YDL011C__YDL011C	0.499	1.295	0.284	0.691	0.308	0.561	0.294	0.296	YDL011C_mRNA
IV_432069_432072_-	YDL012C__YDL012C	0.499	1.295	0.284	0.691	0.308	0.561	0.294	0.296	YDL012C_mRNA
IV_432269_432354_+	YDL010W__YDL010W	46.596	43.813	43.199	40.265	47.325	41.866	39.444	38.663	YDL010W_mRNA
IV_433443_433520_+	YDL008W__YDL008W	58.57	58.597	58.641	60.398	65.7	68.406	58.53	65.59	YDL008W_mRNA
IV_437975_438054_+	YDL007W__RPT2	209.833	209.136	168.724	177.937	201.617	199.798	174.708	174.577	YDL007W_mRNA
IV_439524_439675_+	YDL006W__PTC1	22.45	21.798	21.126	18.455	21.25	22.895	20.456	20.91	YDL006W_mRNA
IV_44025_44072_+	YDL229W__SSB1	879.342	875.824	1257.518	1211.708	887.463	913.67	1163.154	1190.576	YDL229W_mRNA
IV_442288_442383_-	YDL005C__YDL005C	31.63	34.64	31.452	32.074	36.648	37.1	31.516	34.028	YDL005C_mRNA
IV_442938_443019_+	YDL004W__YDL004W	401.506	373.164	246.407	240.21	375.414	366.888	253.889	256.835	YDL004W_mRNA
IV_444555_444602_+	YDL003W__MCD1	18.359	16.187	20.558	20.133	15.501	13.083	15.464	14.597	YDL003W_mRNA
IV_446101_446113_-	.	1.596	1.619	1.611	0.493	1.437	1.495	1.077	1.184	NA
IV_447606_447696_-	YDL002C__NHP10	41.108	43.057	32.968	34.443	44.245	46.258	31.222	34.915	YDL002C_mRNA
IV_447901_447941_+	YDL001W__YDL001W	12.672	14.784	10.8	8.191	12.729	13.27	8.711	7.496	YDL001W_mRNA
IV_447979_447984_+	YDL001W__YDL001W	0.998	1.079	0.853	1.283	0.924	0.561	0.392	0.493	YDL001W_mRNA
IV_45069_45071_+	.	0.2	0.216	0	0	0.103	0.28	0.196	0.099	NA
IV_45243_45247_+	.	0.299	0.54	1.042	1.086	0.103	0.654	0.881	1.184	NA
IV_452531_452535_-	YDR001C__YDR001C	0.998	1.511	0.379	0.987	1.129	1.308	0.783	1.479	YDR001C_mRNA
IV_452584_452596_-	YDR001C__YDR001C	2.295	3.129	1.895	2.566	2.977	3.831	2.055	1.085	YDR001C_mRNA
IV_452609_452612_-	YDR001C__YDR001C	0.599	0.54	0	0	0.719	0.841	0.196	0	YDR001C_mRNA
IV_452650_452744_-	YDR001C__YDR001C	146.374	150.755	55.799	68.589	124.522	124.383	66.36	68.055	YDR001C_mRNA
IV_452952_453087_+	YDR002W__YRB1	536.505	536.868	559.508	559.667	533.402	557.248	608.688	626.603	YDR002W_mRNA
IV_453198_453200_+	YDR002W__YRB1	0.1	0	0.284	0.395	0.103	0.28	0.294	0.789	YDR002W_mRNA
IV_453198_453200_+	YDR003W__RCR2	0.1	0	0.284	0.395	0.103	0.28	0.294	0.789	YDR003W_mRNA
IV_454017_454111_+	YDR002W__YRB1	116.042	109.424	75.978	81.715	119.697	114.197	77.811	81.568	YDR002W_mRNA
IV_454017_454111_+	YDR003W-A__YDR003W-A	116.042	109.424	75.978	81.715	119.697	114.197	77.811	81.568	YDR003W-A_mRNA
IV_454017_454111_+	YDR003W__RCR2	116.042	109.424	75.978	81.715	119.697	114.197	77.811	81.568	YDR003W_mRNA
IV_454137_454143_+	YDR003W-A__YDR003W-A	1.197	0.647	2.179	1.776	0.308	0.654	1.175	1.282	YDR003W-A_mRNA
IV_454137_454143_+	YDR003W__RCR2	1.197	0.647	2.179	1.776	0.308	0.654	1.175	1.282	YDR003W_mRNA
IV_454164_454170_+	YDR003W-A__YDR003W-A	1.197	0.647	1.137	1.974	0.205	0.467	1.077	1.282	YDR003W-A_mRNA
IV_454164_454170_+	YDR003W__RCR2	1.197	0.647	1.137	1.974	0.205	0.467	1.077	1.282	YDR003W_mRNA
IV_455004_455008_-	.	0.1	0.108	0.568	0.296	0	0.093	0.098	0	NA
IV_455200_455264_+	YDR003W-A__YDR003W-A	17.361	16.295	15.347	14.31	13.243	13.644	12.234	13.71	YDR003W-A_mRNA
IV_455200_455264_+	YDR004W__YDR004W	17.361	16.295	15.347	14.31	13.243	13.644	12.234	13.71	YDR004W_mRNA
IV_458172_458175_-	YDR005C__YDR005C	0.898	1.079	0.568	0.888	0.411	0.467	1.077	0.69	YDR005C_mRNA
IV_458201_458257_-	YDR005C__YDR005C	23.548	19.856	19.421	19.837	25.561	26.914	23.49	21.995	YDR005C_mRNA
IV_461306_461354_-	YDR006C__YDR006C	23.348	28.813	22.547	22.995	22.174	23.176	21.631	17.162	YDR006C_mRNA
IV_461378_461385_-	YDR006C__YDR006C	1.596	1.835	1.232	1.184	1.54	1.869	1.37	2.367	YDR006C_mRNA
IV_461607_461658_+	YDR007W__YDR007W	9.279	7.554	8.526	9.079	8.828	7.756	9.2	9.567	YDR007W_mRNA
IV_463273_463277_-	YDR008C__YDR008C	0.399	0.108	0	0.592	0	0.28	0.783	0.395	YDR008C_mRNA
IV_463297_463300_-	YDR008C__YDR008C	0.1	0.108	0.189	0	0.205	0.467	0.196	0.296	YDR008C_mRNA
IV_465579_465687_+	YDR011W__YDR011W	27.04	29.352	106.198	98.689	26.177	26.073	101.008	92.417	YDR011W_mRNA
IV_465876_465921_+	YDR011W__YDR011W	11.674	12.626	0.947	1.086	10.574	13.644	1.077	0.69	YDR011W_mRNA
IV_470940_470945_+	YDR012W__RPL4B	2.594	2.158	1.232	0.493	1.437	1.121	1.077	0.592	YDR012W_mRNA
IV_471750_471753_+	YDR012W__RPL4B	0.299	0.432	0.189	0.395	0.308	0.374	0.098	0.395	YDR012W_mRNA
IV_471758_471849_+	YDR012W__RPL4B	436.029	419.243	499.729	481.703	416.887	436.135	445.823	469.188	YDR012W_mRNA
IV_473113_473161_+	YDR013W__PSF1	27.04	25.791	23.4	24.179	26.075	25.886	21.337	24.756	YDR013W_mRNA
IV_473113_473161_+	YDR014W__RAD61	27.04	25.791	23.4	24.179	26.075	25.886	21.337	24.756	YDR014W_mRNA
IV_473197_473204_+	YDR013W__PSF1	0.898	0.647	1.137	0.691	0.411	0.561	0.587	0.789	YDR013W_mRNA
IV_473197_473204_+	YDR014W__RAD61	0.898	0.647	1.137	0.691	0.411	0.561	0.587	0.789	YDR014W_mRNA
IV_473981_474054_+	YDR013W__PSF1	7.583	7.23	7.958	8.487	8.726	7.85	7.83	5.918	YDR013W_mRNA
IV_473981_474054_+	YDR014W__RAD61	7.583	7.23	7.958	8.487	8.726	7.85	7.83	5.918	YDR014W_mRNA
IV_474192_474195_+	YDR014W__RAD61	0.698	0.54	0.189	0.296	0.513	0.187	0.489	0.296	YDR014W_mRNA
IV_478736_478823_-	YDR015C__YDR015C	124.223	121.079	94.83	95.235	137.251	126.252	109.523	100.604	YDR015C_mRNA
IV_478736_478823_-	YDR016C__YDR016C	124.223	121.079	94.83	95.235	137.251	126.252	109.523	100.604	YDR016C_mRNA
IV_48061_48072_-	YDL227C__YDL227C	35.82	31.187	40.263	41.252	30.284	28.689	29.363	30.773	YDL227C_mRNA
IV_482265_482404_-	YDR017C__YDR017C	27.938	25.252	21.789	26.054	19.607	22.709	17.715	18.937	YDR017C_mRNA
IV_483388_483391_+	.	0.599	0.432	0.379	0.197	0.205	0.187	0.098	0.197	NA
IV_485281_485292_-	YDR019C__GCV1	1.297	1.403	1.705	0.296	1.54	1.962	1.37	1.381	YDR019C_mRNA
IV_485356_485422_-	YDR019C__GCV1	35.621	44.568	18.758	21.712	45.99	48.127	28.482	26.039	YDR019C_mRNA
IV_486506_486593_-	YDR020C__DAS2	10.277	14.568	15.631	14.902	10.779	12.055	12.43	15.978	YDR020C_mRNA
IV_486689_486697_+	YDR021W__YDR021W	1.197	1.187	1.421	0.691	1.129	1.028	0.489	0.789	YDR021W_mRNA
IV_486717_486727_+	YDR021W__YDR021W	2.594	2.914	4.453	4.737	3.182	3.645	3.719	2.959	YDR021W_mRNA
IV_488604_488692_-	YDR022C__CIS1	30.432	31.726	17.526	18.652	28.025	26.54	17.226	18.839	YDR022C_mRNA
IV_489459_489500_+	YDR023W__SES1	483.923	486.689	556.381	584.734	474.58	499.962	567.972	564.762	YDR023W_mRNA
IV_491461_491517_+	YDR024W__YDR024W	2221.853	2310.639	2699.96	2677.343	2365.61	2400.1	2656.54	2683.259	YDR024W_mRNA
IV_491461_491517_+	YDR025W__RPS11A	2221.853	2310.639	2699.96	2677.343	2365.61	2400.1	2656.54	2683.259	YDR025W_mRNA
IV_491569_491573_+	YDR024W__YDR024W	0.299	0.216	0.095	0.296	0.205	0.093	0.392	0.395	YDR024W_mRNA
IV_491569_491573_+	YDR025W__RPS11A	0.299	0.216	0.095	0.296	0.205	0.093	0.392	0.395	YDR025W_mRNA
IV_494222_494231_-	YDR026C__YDR026C	0.399	1.079	0.568	0.592	1.027	1.028	0.489	0.592	YDR026C_mRNA
IV_494398_494479_-	YDR026C__YDR026C	17.661	18.129	16.2	17.271	16.22	17.943	13.507	16.965	YDR026C_mRNA
IV_497380_497456_-	YDR027C__VPS54	10.576	11.007	7.389	7.204	10.368	9.719	8.515	7.003	YDR027C_mRNA
IV_501241_501250_-	YDR028C__REG1	0.1	0.216	0.663	0.592	0.411	0	0.783	0.493	YDR028C_mRNA
IV_501271_501400_-	YDR028C__REG1	135.299	136.726	107.714	108.065	136.635	132.42	101.008	99.519	YDR028C_mRNA
IV_501508_501549_-	YDR028C__REG1	4.989	5.935	2.653	4.441	3.901	5.046	5.09	3.551	YDR028C_mRNA
IV_501776_501780_+	YDR029W__YDR029W	0.499	0.54	0.947	0.592	0.719	0.374	0.783	0.395	YDR029W_mRNA
IV_503273_503287_-	YDR030C__YDR030C	10.676	9.712	6.063	7.895	9.444	8.691	8.613	7.693	YDR030C_mRNA
IV_503450_503525_+	YDR031W__YDR031W	150.964	147.841	75.599	82.8	154.395	139.335	97.093	92.713	YDR031W_mRNA
IV_50419_50439_+	.	2.395	1.187	1.137	1.776	2.053	1.402	1.175	0.592	NA
IV_504400_504402_-	YDR032C__YDR032C	0	0.432	0.095	0.099	0.205	0.561	0.294	0.099	YDR032C_mRNA
IV_504740_504830_-	YDR032C__YDR032C	289.256	275.61	138.314	142.705	259.823	261.008	150.435	145.777	YDR032C_mRNA
IV_50509_50526_+	.	2.694	1.835	3.6	2.763	2.566	1.495	2.545	2.762	NA
IV_506516_506578_+	.	39.512	37.554	14.968	16.678	34.39	29.53	11.06	9.764	NA
IV_506919_506922_-	.	1.098	1.403	0.758	0.987	0.821	1.028	0.979	0.888	NA
IV_507775_507941_+	YDR033W__YDR033W	617.326	554.89	475.098	536.969	510.817	556.407	435.449	502.821	YDR033W_mRNA
IV_508649_508651_+	YDR033W__YDR033W	0.698	0.863	0.568	0.592	0.308	0.748	0.489	0.69	YDR033W_mRNA
IV_512058_512074_-	YDR034C__YDR034C	2.694	1.619	1.042	1.48	1.642	1.962	1.762	1.775	YDR034C_mRNA
IV_512233_512261_-	YDR034C__YDR034C	18.259	17.806	12.031	15.099	15.398	15.7	10.571	8.088	YDR034C_mRNA
IV_512485_512575_+	.	32.428	33.885	28.421	29.508	39.317	35.979	35.92	33.436	NA
IV_513040_513081_+	.	6.984	4.964	3.789	5.329	6.159	4.673	4.502	3.945	NA
IV_521254_521321_+	YDR034W-B__YDR034W-B	17.561	19.856	4.453	3.355	13.14	13.55	4.894	5.622	YDR034W-B_mRNA
IV_521254_521321_+	YDR035W__YDR035W	17.561	19.856	4.453	3.355	13.14	13.55	4.894	5.622	YDR035W_mRNA
IV_52155_52232_-	YDL226C__YDL226C	150.166	160.467	167.871	174.68	160.041	159.427	162.669	172.506	YDL226C_mRNA
IV_521668_521675_+	YDR034W-B__YDR034W-B	1.596	0.863	0.947	1.184	0.821	1.308	0.587	0.789	YDR034W-B_mRNA
IV_521668_521675_+	YDR035W__YDR035W	1.596	0.863	0.947	1.184	0.821	1.308	0.587	0.789	YDR035W_mRNA
IV_521726_521808_+	YDR034W-B__YDR034W-B	126.718	117.518	82.325	79.938	122.366	134.85	84.369	84.823	YDR034W-B_mRNA
IV_521726_521808_+	YDR035W__YDR035W	126.718	117.518	82.325	79.938	122.366	134.85	84.369	84.823	YDR035W_mRNA
IV_52368_52412_+	YDL225W__SHS1	33.924	37.662	29.273	26.843	30.181	30.558	25.154	27.913	YDL225W_mRNA
IV_524713_524723_-	YDR036C__EHD3	3.592	2.59	3.695	3.553	2.772	3.645	2.741	3.452	YDR036C_mRNA
IV_524759_524800_-	YDR036C__EHD3	23.548	25.144	25.958	26.843	24.843	21.961	26.329	27.222	YDR036C_mRNA
IV_524984_524991_+	YDR037W__KRS1	4.49	5.935	3.695	4.934	4.414	4.859	4.307	4.932	YDR037W_mRNA
IV_525323_525439_+	YDR037W__KRS1	327.471	335.394	341.237	367.519	346.259	331.284	343.152	349.746	YDR037W_mRNA
IV_525509_525512_+	YDR037W__KRS1	0.698	1.079	0.568	0.296	0.616	0.654	1.664	0.296	YDR037W_mRNA
IV_535526_535530_-	YDR039C__YDR039C	0.399	0.432	0.379	0.592	0.205	0.467	0.294	0.296	YDR039C_mRNA
IV_539561_539575_-	.	1.696	1.942	0.853	1.579	2.156	3.271	0.783	1.381	NA
IV_539758_539853_+	YDR041W__YDR041W	47.394	44.568	35.052	32.962	39.625	41.212	37.486	37.085	YDR041W_mRNA
IV_541804_541809_-	YDR042C__YDR042C	3.792	3.777	2.084	2.072	2.669	2.804	1.272	2.071	YDR042C_mRNA
IV_542415_542431_-	YDR043C__YDR043C	0.798	0.971	1.137	1.086	0.616	0.467	0.881	0.69	YDR043C_mRNA
IV_543520_543572_-	YDR043C__YDR043C	20.055	23.525	15.631	16.284	22.79	20.933	16.932	17.26	YDR043C_mRNA
IV_544070_544088_+	.	12.672	13.921	8.242	9.474	15.296	11.868	8.026	8.877	NA
IV_544357_544359_+	.	2.494	1.403	0.663	0.79	1.54	1.962	0.783	1.085	NA
IV_544534_544545_+	.	3.293	3.129	2.558	1.678	4.106	4.112	1.175	2.564	NA
IV_545936_545955_-	.	1.596	2.266	1.8	1.974	2.977	1.495	0.979	2.071	NA
IV_545972_545975_-	.	0.2	0.54	0.474	0.296	0.308	0.654	0	0.296	NA
IV_546411_546414_+	YDR044W__YDR044W	0.998	1.403	1.611	0.79	0.308	1.589	1.37	1.381	YDR044W_mRNA
IV_546450_546494_+	YDR044W__YDR044W	5.787	5.504	6.158	4.638	5.441	7.943	6.46	6.411	YDR044W_mRNA
IV_546587_546648_+	YDR044W__YDR044W	13.27	10.791	9.379	7.007	9.034	10.373	8.319	7.496	YDR044W_mRNA
IV_548402_548511_-	YDR045C__RPC11	73.736	70.575	86.493	82.11	68.677	75.882	87.207	82.061	YDR045C_mRNA
IV_550605_550609_-	YDR046C__BAP3	0.998	1.079	0.284	0.395	0.719	0.841	0.294	0.296	YDR046C_mRNA
IV_550650_550684_-	YDR046C__BAP3	94.19	89.028	57.315	60.003	90.44	87.657	54.517	55.924	YDR046C_mRNA
IV_551390_551533_+	YDR047W__HEM12	64.456	56.007	42.347	42.535	56.153	49.436	34.354	35.014	YDR047W_mRNA
IV_551711_551767_+	YDR047W__HEM12	90.099	91.079	83.841	83.886	90.543	87.844	79.377	82.751	YDR047W_mRNA
IV_551812_551816_+	YDR047W__HEM12	2.195	3.453	1.8	2.566	2.874	2.243	3.034	2.269	YDR047W_mRNA
IV_551819_551821_+	YDR047W__HEM12	0.299	0.432	0.853	0.395	0.719	0.093	0.587	0.592	YDR047W_mRNA
IV_553175_553230_+	YDR049W__YDR049W	15.266	14.784	14.589	12.139	14.68	10.093	9.298	12.921	YDR049W_mRNA
IV_555954_555956_-	YDR050C__YDR050C	1.197	0.863	0.663	0.493	0.513	1.308	0.979	0.789	YDR050C_mRNA
IV_555972_555974_-	YDR050C__YDR050C	0	0	0.095	0	0.205	0	0.196	0.197	YDR050C_mRNA
IV_556054_556067_-	YDR050C__YDR050C	2.794	2.806	4.642	3.059	3.593	3.831	4.404	3.551	YDR050C_mRNA
IV_556200_556220_-	YDR050C__YDR050C	13.171	17.05	13.642	13.323	10.882	17.288	14.094	15.781	YDR050C_mRNA
IV_556264_556266_-	YDR050C__YDR050C	0.399	1.187	0.663	0.296	0.821	0.187	0.685	0.888	YDR050C_mRNA
IV_556363_556367_-	YDR050C__YDR050C	1.297	1.295	0.663	0.592	1.027	1.308	1.664	0.986	YDR050C_mRNA
IV_556411_556415_-	YDR050C__YDR050C	1.696	1.727	4.074	1.875	1.232	0.748	1.762	1.874	YDR050C_mRNA
IV_556446_556449_-	YDR050C__YDR050C	0.599	0.54	0.663	0.493	0.308	0.28	0.685	0.493	YDR050C_mRNA
IV_556475_556531_-	YDR050C__YDR050C	2733.813	2659.954	2431.859	2338.74	2698.935	2639.895	2488.977	2515.981	YDR050C_mRNA
IV_556548_556554_-	YDR050C__YDR050C	0.898	0.755	0.095	0.296	0.924	0.467	0.294	0.099	YDR050C_mRNA
IV_556729_556748_+	.	2.993	3.453	2.368	1.48	3.798	2.804	3.132	2.959	NA
IV_558055_558107_-	YDR051C__YDR051C	54.678	56.87	48.41	46.779	55.537	53.921	46.882	47.737	YDR051C_mRNA
IV_5602_5653_-	.	4.49	3.345	2.558	3.454	4.004	4.392	2.838	3.058	NA
IV_560743_560793_-	YDR052C__DBF4	17.262	15.216	13.831	13.224	14.475	15.606	14.779	15.485	YDR052C_mRNA
IV_562376_562381_-	YDR054C__CDC34	0.399	0.647	0.095	0.592	0.411	0.654	0	0.099	YDR054C_mRNA
IV_562406_562530_-	YDR054C__CDC34	39.911	39.28	34.199	31.975	41.268	44.015	33.669	29.195	YDR054C_mRNA
IV_562694_562697_-	YDR054C__CDC34	0.698	0.755	0.474	0.493	0.719	0.654	0.587	0.493	YDR054C_mRNA
IV_563447_563482_+	YDR055W__PST1	143.481	122.266	50.494	51.417	126.267	117.374	51.189	51.88	YDR055W_mRNA
IV_565503_565508_-	YDR056C__YDR056C	0.399	0.647	0	0.099	0.308	0.467	0	0	YDR056C_mRNA
IV_565631_565753_-	YDR056C__YDR056C	150.166	140.611	129.977	135.106	135.404	142.419	121.757	132.363	YDR056C_mRNA
IV_565860_565953_+	YDR057W__YDR057W	11.874	12.842	10.705	10.264	10.676	11.308	9.494	10.652	YDR057W_mRNA
IV_56676_56730_-	YDL224C__YDL224C	45.1	45.755	33.536	34.739	44.655	42.894	28.482	30.674	YDL224C_mRNA
IV_568700_568760_-	YDR058C__YDR058C	14.268	16.727	6.916	8.981	12.421	14.205	7.439	8.975	YDR058C_mRNA
IV_569778_569857_-	YDR059C__YDR059C	52.184	53.849	24.063	26.054	45.887	43.548	26.231	26.039	YDR059C_mRNA
IV_570554_570627_+	YDR060W__MAK21	50.687	53.093	71.431	73.622	49.686	50.931	67.143	71.113	YDR060W_mRNA
IV_570641_570643_+	YDR060W__MAK21	0	0	0	0	0	0	0.196	0.493	YDR060W_mRNA
IV_574078_574148_+	YDR061W__YDR061W	33.226	26.223	25.2	26.745	23.098	28.503	23.294	20.515	YDR061W_mRNA
IV_575865_575868_-	.	0.1	0.216	0	0	0.308	0.561	0	0.197	NA
IV_576064_576204_+	YDR062W__LCB2	124.323	122.589	125.524	115.861	133.658	124.85	125.574	130.094	YDR062W_mRNA
IV_576468_576474_+	YDR062W__LCB2	1.297	1.727	0.947	0.493	0.924	1.028	0.783	1.085	YDR062W_mRNA
IV_578500_578651_+	YDR063W__AIM7	164.234	153.021	115.767	113.887	161.376	165.502	115.787	113.229	YDR063W_mRNA
IV_578500_578651_+	YDR064W__RPS13	164.234	153.021	115.767	113.887	161.376	165.502	115.787	113.229	YDR064W_mRNA
IV_579359_579465_+	YDR063W__AIM7	3153.379	3203.189	4358.21	4220.745	3373.489	3381.989	4186.14	4229.597	YDR063W_mRNA
IV_579359_579465_+	YDR064W__RPS13	3153.379	3203.189	4358.21	4220.745	3373.489	3381.989	4186.14	4229.597	YDR064W_mRNA
IV_580017_580129_+	YDR064W__RPS13	7.384	7.014	9.758	9.573	5.133	7.102	10.473	9.962	YDR064W_mRNA
IV_580017_580129_+	YDR065W__YDR065W	7.384	7.014	9.758	9.573	5.133	7.102	10.473	9.962	YDR065W_mRNA
IV_580637_580654_+	YDR065W__YDR065W	6.286	6.906	5.968	6.217	5.749	6.074	5.481	5.326	YDR065W_mRNA
IV_580679_580681_+	YDR065W__YDR065W	0.1	0.324	0.189	0.197	0.103	0.093	0.294	0.296	YDR065W_mRNA
IV_580739_580742_+	YDR065W__YDR065W	0.1	0.216	0.284	0.197	0	0	0.098	0	YDR065W_mRNA
IV_582541_582639_-	YDR066C__YDR066C	15.066	15.54	10.705	13.52	14.68	13.737	13.115	14.597	YDR066C_mRNA
IV_582541_582639_-	YDR067C__YDR067C	15.066	15.54	10.705	13.52	14.68	13.737	13.115	14.597	YDR067C_mRNA
IV_582655_582659_-	YDR066C__YDR066C	0.2	0	0.189	0.296	0.205	0.093	0.587	0.197	YDR066C_mRNA
IV_582655_582659_-	YDR067C__YDR067C	0.2	0	0.189	0.296	0.205	0.093	0.587	0.197	YDR067C_mRNA
